,size,time,type,value,sid
0,0,2018-04-24 00:01:08,BID,8959.1,XBTUSD KRKN Curncy
1,0,2018-04-24 00:01:08,ASK,8966.8,XBTUSD KRKN Curncy
2,0,2018-04-24 00:01:08,TRADE,8966.8,XBTUSD KRKN Curncy
3,0,2018-04-24 00:06:22,BID,8947.3,XBTUSD KRKN Curncy
4,0,2018-04-24 00:06:22,ASK,8952.5,XBTUSD KRKN Curncy
5,0,2018-04-24 00:06:22,TRADE,8951.8,XBTUSD KRKN Curncy
6,0,2018-04-24 00:11:07,BID,8951.7,XBTUSD KRKN Curncy
7,0,2018-04-24 00:11:07,ASK,8951.9,XBTUSD KRKN Curncy
8,0,2018-04-24 00:11:07,TRADE,8951.7,XBTUSD KRKN Curncy
9,0,2018-04-24 00:16:24,BID,8961.9,XBTUSD KRKN Curncy
10,0,2018-04-24 00:16:24,ASK,8964.1,XBTUSD KRKN Curncy
11,0,2018-04-24 00:16:24,TRADE,8968.9,XBTUSD KRKN Curncy
12,0,2018-04-24 00:21:36,BID,8972.1,XBTUSD KRKN Curncy
13,0,2018-04-24 00:21:36,ASK,8972.2,XBTUSD KRKN Curncy
14,0,2018-04-24 00:21:36,TRADE,8972.2,XBTUSD KRKN Curncy
15,0,2018-04-24 00:26:49,BID,8973.0,XBTUSD KRKN Curncy
16,0,2018-04-24 00:26:49,ASK,8978.1,XBTUSD KRKN Curncy
17,0,2018-04-24 00:26:49,TRADE,8974.1,XBTUSD KRKN Curncy
18,0,2018-04-24 00:31:33,BID,9005.2,XBTUSD KRKN Curncy
19,0,2018-04-24 00:31:33,ASK,9009.6,XBTUSD KRKN Curncy
20,0,2018-04-24 00:31:33,TRADE,9022.2,XBTUSD KRKN Curncy
21,0,2018-04-24 00:36:45,BID,9195.4,XBTUSD KRKN Curncy
22,0,2018-04-24 00:36:45,ASK,9195.5,XBTUSD KRKN Curncy
23,0,2018-04-24 00:36:45,TRADE,9192.2,XBTUSD KRKN Curncy
24,0,2018-04-24 00:41:56,BID,9175.0,XBTUSD KRKN Curncy
25,0,2018-04-24 00:41:56,ASK,9177.5,XBTUSD KRKN Curncy
26,0,2018-04-24 00:41:56,TRADE,9168.9,XBTUSD KRKN Curncy
27,0,2018-04-24 00:46:39,BID,9206.0,XBTUSD KRKN Curncy
28,0,2018-04-24 00:46:39,ASK,9215.0,XBTUSD KRKN Curncy
29,0,2018-04-24 00:46:39,TRADE,9205.7,XBTUSD KRKN Curncy
30,0,2018-04-24 00:51:29,BID,9199.0,XBTUSD KRKN Curncy
31,0,2018-04-24 00:51:29,ASK,9199.1,XBTUSD KRKN Curncy
32,0,2018-04-24 00:51:29,TRADE,9199.0,XBTUSD KRKN Curncy
33,0,2018-04-24 00:56:27,BID,9197.0,XBTUSD KRKN Curncy
34,0,2018-04-24 00:56:27,ASK,9197.1,XBTUSD KRKN Curncy
35,0,2018-04-24 00:56:27,TRADE,9197.1,XBTUSD KRKN Curncy
36,0,2018-04-24 01:01:29,BID,9173.1,XBTUSD KRKN Curncy
37,0,2018-04-24 01:01:29,ASK,9177.0,XBTUSD KRKN Curncy
38,0,2018-04-24 01:01:29,TRADE,9177.0,XBTUSD KRKN Curncy
39,0,2018-04-24 01:06:33,BID,9173.1,XBTUSD KRKN Curncy
40,0,2018-04-24 01:06:33,ASK,9177.0,XBTUSD KRKN Curncy
41,0,2018-04-24 01:06:33,TRADE,9177.0,XBTUSD KRKN Curncy
42,0,2018-04-24 01:11:21,BID,9156.0,XBTUSD KRKN Curncy
43,0,2018-04-24 01:11:21,ASK,9156.1,XBTUSD KRKN Curncy
44,0,2018-04-24 01:11:21,TRADE,9161.4,XBTUSD KRKN Curncy
45,0,2018-04-24 01:16:12,BID,9182.3,XBTUSD KRKN Curncy
46,0,2018-04-24 01:16:12,ASK,9184.0,XBTUSD KRKN Curncy
47,0,2018-04-24 01:16:12,TRADE,9180.6,XBTUSD KRKN Curncy
48,0,2018-04-24 01:21:20,BID,9178.0,XBTUSD KRKN Curncy
49,0,2018-04-24 01:21:20,ASK,9178.1,XBTUSD KRKN Curncy
50,0,2018-04-24 01:21:20,TRADE,9178.1,XBTUSD KRKN Curncy
51,0,2018-04-24 01:26:17,BID,9178.7,XBTUSD KRKN Curncy
52,0,2018-04-24 01:26:17,ASK,9178.8,XBTUSD KRKN Curncy
53,0,2018-04-24 01:26:17,TRADE,9178.8,XBTUSD KRKN Curncy
54,0,2018-04-24 01:31:10,BID,9178.8,XBTUSD KRKN Curncy
55,0,2018-04-24 01:31:10,ASK,9178.9,XBTUSD KRKN Curncy
56,0,2018-04-24 01:31:10,TRADE,9178.8,XBTUSD KRKN Curncy
57,0,2018-04-24 01:36:31,BID,9185.7,XBTUSD KRKN Curncy
58,0,2018-04-24 01:36:31,ASK,9195.1,XBTUSD KRKN Curncy
59,0,2018-04-24 01:36:31,TRADE,9193.1,XBTUSD KRKN Curncy
60,0,2018-04-24 01:41:13,BID,9190.5,XBTUSD KRKN Curncy
61,0,2018-04-24 01:41:13,ASK,9194.5,XBTUSD KRKN Curncy
62,0,2018-04-24 01:41:13,TRADE,9194.8,XBTUSD KRKN Curncy
63,0,2018-04-24 01:46:15,BID,9186.6,XBTUSD KRKN Curncy
64,0,2018-04-24 01:46:15,ASK,9187.2,XBTUSD KRKN Curncy
65,0,2018-04-24 01:46:15,TRADE,9186.6,XBTUSD KRKN Curncy
66,0,2018-04-24 01:51:09,BID,9181.1,XBTUSD KRKN Curncy
67,0,2018-04-24 01:51:09,ASK,9181.4,XBTUSD KRKN Curncy
68,0,2018-04-24 01:51:09,TRADE,9181.1,XBTUSD KRKN Curncy
69,0,2018-04-24 01:56:02,BID,9189.0,XBTUSD KRKN Curncy
70,0,2018-04-24 01:56:02,ASK,9194.5,XBTUSD KRKN Curncy
71,0,2018-04-24 01:56:02,TRADE,9193.9,XBTUSD KRKN Curncy
72,0,2018-04-24 02:01:02,BID,9194.0,XBTUSD KRKN Curncy
73,0,2018-04-24 02:01:02,ASK,9194.6,XBTUSD KRKN Curncy
74,0,2018-04-24 02:01:02,TRADE,9194.6,XBTUSD KRKN Curncy
75,0,2018-04-24 02:06:13,BID,9199.0,XBTUSD KRKN Curncy
76,0,2018-04-24 02:06:13,ASK,9200.9,XBTUSD KRKN Curncy
77,0,2018-04-24 02:06:13,TRADE,9204.9,XBTUSD KRKN Curncy
